user_id,name,email,signup_date,city,device,is_loyal
1,Noah Watson,brandonjoseph@example.org,2021-11-22 20:45:33.530761,Munich,Web,True
2,William Howard,denisepeterson@example.org,2021-01-17 19:43:38.634226,Hamburg,Android,True
3,Jessica King,williamcompton@example.com,2021-05-17 12:29:22.834906,Berlin,iOS,False
4,Stuart Jones,barneschristopher@example.net,2020-08-21 01:51:58.825255,Cologne,Android,False
5,Jerry Smith,gerald88@example.org,2022-06-21 12:58:40.252306,Düsseldorf,Web,True
6,David Stephenson,nathanrubio@example.org,2021-10-16 00:39:23.998905,Munich,iOS,False
7,Vickie Morales,pandrews@example.org,2022-05-11 06:48:10.906743,Frankfurt,Web,True
8,Melissa Robinson,ejohnson@example.com,2023-05-22 03:35:42.000458,Frankfurt,Web,False
9,Brad Mendez,novakashley@example.org,2020-08-01 17:32:35.672731,Munich,Android,True
10,Leslie Hogan,christopher68@example.net,2020-11-16 09:09:27.006228,Hamburg,iOS,False
11,Matthew Smith,martinezlauren@example.com,2021-10-11 15:14:55.358346,Berlin,iOS,False
12,Yolanda Brown,tannerstephanie@example.org,2020-08-30 14:30:31.542076,Düsseldorf,Web,True
13,Matthew Green,aadkins@example.com,2021-03-21 17:59:36.907890,Munich,Android,True
14,John Mccann,steven52@example.net,2021-07-04 07:11:33.633022,Stuttgart,Web,True
15,Crystal Hickman,melanie66@example.org,2023-05-16 08:11:31.039033,Munich,Android,True
16,Pamela Rodriguez,wesley92@example.org,2021-04-23 04:14:04.350077,Munich,Web,False
17,Elizabeth Hunt,sanchezgary@example.com,2022-05-01 09:08:55.725618,Düsseldorf,Web,True
18,Ryan Farley,yhernandez@example.org,2020-03-21 15:00:44.440031,Stuttgart,iOS,False
19,Jared Miller,josephchristopher@example.org,2020-04-07 07:01:31.711509,Cologne,Web,False
20,Anthony Garcia,itran@example.net,2021-07-02 03:41:57.742150,Munich,iOS,False
21,Brent Bradley,andradejennifer@example.com,2022-09-30 13:55:59.373384,Düsseldorf,Web,False
22,Tina Ruiz,katherineconway@example.com,2022-02-22 21:18:26.516845,Munich,Android,True
23,Paige Palmer,deanna97@example.com,2020-12-02 17:27:01.680452,Stuttgart,Android,False
24,Loretta Myers,donald38@example.org,2021-03-01 05:56:59.991206,Düsseldorf,Android,True
25,Jodi Brown,nicole00@example.org,2021-01-07 12:36:52.131345,Hamburg,Android,False
26,Derrick Shaw,morgan23@example.com,2022-12-18 11:47:33.972675,Düsseldorf,Android,False
27,Karina Moon,kevincummings@example.net,2023-02-25 22:47:40.002602,Düsseldorf,iOS,False
28,Manuel Brown,rjohnson@example.com,2022-10-28 22:43:25.055625,Frankfurt,Android,False
29,Greg Smith,pateljennifer@example.net,2021-04-23 04:54:28.289476,Düsseldorf,iOS,False
30,Samantha Mitchell,josephcohen@example.com,2020-07-11 22:19:42.815642,Cologne,iOS,False
31,Pamela Terry,rmacdonald@example.net,2021-09-11 03:59:16.628731,Frankfurt,iOS,False
32,Dr. Kara Ward,sullivancarol@example.org,2022-12-02 16:04:38.897617,Frankfurt,Web,False
